S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,Deadline for Idea Submission
1,Ministry of Development of North Eastern Region (MDoNER),AI-Based early warning and landslide Risk Monitoring System in NER,Software,SIH26001,0/500,Disaster Management,20 September 2026
2,Ministry of Development of North Eastern Region (MDoNER),Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER),Software,SIH26002,0/500,Transportation & Logistics,20 September 2026
3,Ministry of Development of North Eastern Region (MDoNER),AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER),Software,SIH26003,0/500,MedTech / BioTech / HealthTech,20 September 2026
4,Ministry of Development of North Eastern Region (MDoNER),Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER),Hardware,SIH26004,0/500,MedTech / BioTech / HealthTech,20 September 2026
5,Ministry of Development of North Eastern Region (MDoNER),Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER),Hardware,SIH26005,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
6,Ministry of Steel,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India,Software,SIH26006,0/500,Transportation & Logistics,20 September 2026
7,Ministry of Steel,Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.,Hardware,SIH26007,0/500,Smart Automation,20 September 2026
8,Ministry of Steel,Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.,Hardware,SIH26008,0/500,Smart Automation,20 September 2026
9,Ministry of Steel,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.,Software,SIH26009,0/500,Space Technology,20 September 2026
10,Ministry of Rural Development,Survey/Resurvey of Rural Agricultural Land in lndia,Hardware,SIH26010,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
11,Ministry of Rural Development,3D ULPIN Generation and vertical Property Mapping SYstem,Software,SIH26011,0/500,Smart Automation,20 September 2026
12,Ministry of Rural Development,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery,Software,SIH26012,0/500,Smart Automation,20 September 2026
13,Ministry of Rural Development,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.,Software,SIH26013,0/500,Smart Automation,20 September 2026
14,Ministry of Rural Development,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance,Software,SIH26014,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
15,Ministry of Rural Development,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.,Software,SIH26015,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
16,Ministry of Rural Development,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support,Software,SIH26016,0/500,Smart Automation,20 September 2026
17,Ministry of Rural Development,Predictive Analytics System for Early Detection of Land Acquisition Delays,Software,SIH26017,0/500,Smart Automation,20 September 2026
18,Ministry of Rural Development,Intelligent Land Record Digitization and Validation System,Software,SIH26018,0/500,Smart Automation,20 September 2026
19,Ministry of Rural Development,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance",Software,SIH26019,0/500,Smart Automation,20 September 2026
20,Ministry of MSME,Design and Development of Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity and Income,Hardware,SIH26020,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
21,Ministry of MSME,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.,Software,SIH26021,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
22,Ministry of MSME,"Design and develop a smart, solar-powered drying and compact packaging system to support home-based agarbatti manufacturing by rural women artisans.",Hardware,SIH26022,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
23,Ministry of Coal,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries",Software,SIH26023,0/500,Smart Automation,20 September 2026
24,Ministry of Coal,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines,Software,SIH26024,0/500,Smart Automation,20 September 2026
25,Ministry of Coal,"Development of an AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System for Underground Coal Mines in India",Hardware,SIH26025,0/500,Smart Automation,20 September 2026
26,Ministry of Railways,Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.,Hardware,SIH26026,0/500,Blockchain & Cybersecurity,20 September 2026
27,Ministry of Railways,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways,Software,SIH26027,0/500,Transportation & Logistics,20 September 2026
28,Ministry of Railways,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains,Software,SIH26028,0/500,Smart Automation,20 September 2026
29,"Ministry of Consumer Affairs, Food & Public Distribution",Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance.,Hardware,SIH26029,0/500,Smart Automation,20 September 2026
30,"Ministry of Consumer Affairs, Food & Public Distribution",Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance.,Hardware,SIH26030,0/500,Smart Automation,20 September 2026
31,"Ministry of Consumer Affairs, Food & Public Distribution","Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.",Software,SIH26031,0/500,Smart Automation,20 September 2026
32,"Ministry of Consumer Affairs, Food & Public Distribution","Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.",Software,SIH26032,0/500,Smart Automation,20 September 2026
33,"Ministry of Consumer Affairs, Food & Public Distribution",Multiple intermediaries reduce farmers earnings and increase consumer prices.,Software,SIH26033,0/500,"Agriculture, FoodTech & Rural Development",20 September 2026
34,"Ministry of Consumer Affairs, Food & Public Distribution","Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.",Software,SIH26034,0/500,Miscellaneous,20 September 2026
35,"Ministry of Consumer Affairs, Food & Public Distribution",Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76,Software,SIH26035,0/500,Miscellaneous,20 September 2026
36,"Ministry of Consumer Affairs, Food & Public Distribution",Development of an Online Verification System for Weighing and Measuring Instruments,Software,SIH26036,0/500,Miscellaneous,20 September 2026
37,MathWorks,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads,Software,SIH26037,0/500,Smart Vehicles,20 September 2026
38,MathWorks,Explainable AI for Diabetic Retinopathy Screening in Rural India,Software,SIH26038,0/500,MedTech / BioTech / HealthTech,20 September 2026
39,Governmcnt of Jharkhand,"Al-Powered Underground Mine Safety, Monitoring and Rescue System.",Hardware,SIH26039,0/500,Smart Automation,20 September 2026
40,Governmcnt of Jharkhand,Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas.,Hardware,SIH26040,0/500,Clean & Green Technology,20 September 2026
41,Governmcnt of Jharkhand,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector,Software,SIH26041,0/500,Smart Education,20 September 2026
42,Governmcnt of Jharkhand,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education,Software,SIH26042,0/500,Smart Education,20 September 2026
43,Governmcnt of Jharkhand,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships,Software,SIH26043,0/500,Smart Education,20 September 2026
44,Ministry of Ayush,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",Software,SIH26044,0/500,Smart Automation,20 September 2026
45,Ministry of Ayush,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.",Software,SIH26045,0/500,MedTech / BioTech / HealthTech,20 September 2026
46,Ministry of Ayush,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.",Software,SIH26046,0/500,MedTech / BioTech / HealthTech,20 September 2026
47,Ministry of Ayush,Patient Case-Taking Software,Software,SIH26047,0/500,MedTech / BioTech / HealthTech,20 September 2026
48,Ministry of Ayush,"iKwath - a pod-based smart Kwatha (Kadha) maker that prepares a fresh, AFI/API-standardized decoction from coarse powder (yavaku?a c?r?a) on demand, in the shortest practical time without altering the decoctions quality or yield",Hardware,SIH26048,0/500,MedTech / BioTech / HealthTech,20 September 2026
49,DRDO,"Modifications to improve the reliability, efficiency,and lifespan of electrical and electronic equipment and systems in the ambient condition of subzero temperature and low pressure of High Altitude Areas(HAA) and Super High Altitude Areas (SHAA) of Ladakh region.",Hardware,SIH26049,0/500,Smart Automation,20 September 2026
50,DRDO,High Altitude Performance Optimization and Robust Design of Anti-Drone System.,Hardware,SIH26050,0/500,Robotics and Drones,20 September 2026
51,DRDO,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.,Software,SIH26051,0/500,Miscellaneous,20 September 2026
52,DRDO,"To develop an AI/ML-enabled adaptive noise cancellation (ANC) system that effectively suppresses stationary, non-stationary, and impulsive defence noises while maintaining high speech intelligibility and real-time performance on embedded hardware.",Hardware,SIH26052,0/500,Miscellaneous,20 September 2026
